metric,mean,median
estimatedTBT,16148.189465077472,9120.1824
fcp,11246.145961726557,7366.814
navigationTiming_connectEnd,5719.452884982122,3533.404
navigationTiming_connectStart,3431.3757377830752,1850.037
navigationTiming_domComplete,26904.58721354787,15183.637
navigationTiming_domContentLoadedEventEnd,13525.618143027412,8158.496499999999
navigationTiming_domContentLoadedEventStart,13505.107204410011,8150.163
navigationTiming_domInteractive,11979.689330750894,7383.481
navigationTiming_domainLookupEnd,3391.5855101311085,1816.703
navigationTiming_domainLookupStart,3391.5855101311085,1816.703
navigationTiming_fetchStart,3391.5855101311085,1816.703
navigationTiming_loadEventEnd,26913.649108462454,15200.304
navigationTiming_loadEventStart,26905.153375049664,15183.637
navigationTiming_requestStart,5724.71388279698,3533.404
navigationTiming_responseEnd,6670.826037346047,4300.086
navigationTiming_responseStart,6600.53923897497,4266.752
navigationTiming_secureConnectionStart,4952.823859157727,2866.724
