metric,mean,median
estimatedTBT,6770.1354,4930.0986
fcp,6281.408121317158,5133.436
navigationTiming_connectEnd,3530.5740114285713,2833.39
navigationTiming_connectStart,2196.1391599999997,1733.368
navigationTiming_domComplete,11278.361617142858,8183.497
navigationTiming_domContentLoadedEventEnd,6906.301388571428,5600.112
navigationTiming_domContentLoadedEventStart,6887.1853599999995,5583.445
navigationTiming_domInteractive,6354.671308571429,5133.436
navigationTiming_domainLookupEnd,2160.2200742857144,1700.034
navigationTiming_domainLookupStart,2160.2200742857144,1700.034
navigationTiming_fetchStart,2160.2200742857144,1700.034
navigationTiming_loadEventEnd,11283.559000000001,8216.831
navigationTiming_loadEventStart,11278.76978857143,8183.497
navigationTiming_requestStart,3535.8258171428574,2850.057
navigationTiming_responseEnd,4221.064011428572,3450.069
navigationTiming_responseStart,4198.015931428571,3433.402
navigationTiming_secureConnectionStart,2984.304582857143,2333.38
