metric,mean,median
estimatedTBT,8411.130364353312,6165.123299999999
fcp,6675.948883913765,5375.1075
navigationTiming_connectEnd,3775.8115820189278,3025.0604999999996
navigationTiming_connectStart,2342.633602523659,1850.037
navigationTiming_domComplete,14012.35963170347,10266.872
navigationTiming_domContentLoadedEventEnd,7720.935172712934,5916.785
navigationTiming_domContentLoadedEventStart,7703.781832807571,5900.118
navigationTiming_domInteractive,7180.927001577286,5400.108
navigationTiming_domainLookupEnd,2303.989296529968,1816.703
navigationTiming_domainLookupStart,2303.989296529968,1816.703
navigationTiming_fetchStart,2303.989296529968,1816.703
navigationTiming_loadEventEnd,14018.550607255522,10275.2055
navigationTiming_loadEventStart,14012.819682965299,10275.2055
navigationTiming_requestStart,3790.90126340694,3033.394
navigationTiming_responseEnd,4466.637701104101,3575.0715
navigationTiming_responseStart,4430.083342271294,3550.071
navigationTiming_secureConnectionStart,3225.971458201893,2425.0485
