May 31 13:51:54.687 [info] circuit_build_times_set_timeout(): Circuit timeout data: 1125.339833ms, 60000.000000ms, Xm: 393, a: 1.529839, r: 0.196000
May 31 14:02:26.859 [info] circuit_build_times_set_timeout(): Circuit timeout data: 1851.057593ms, 60000.000000ms, Xm: 516, a: 1.259927, r: 0.230000
May 31 16:14:49.863 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6261.702800ms, 113224.000000ms, Xm: 1310, a: 1.028773, r: 0.290000
May 31 16:15:52.669 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5479.606352ms, 60000.000000ms, Xm: 1938, a: 1.548464, r: 0.349206
May 31 16:25:21.961 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5501.561199ms, 60000.000000ms, Xm: 2045, a: 1.626296, r: 0.355872
May 31 16:25:22.143 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5481.283241ms, 60000.000000ms, Xm: 2045, a: 1.632387, r: 0.358156
May 31 16:25:38.609 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5524.138072ms, 60000.000000ms, Xm: 2045, a: 1.619594, r: 0.345763
May 31 16:28:41.838 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6513.018124ms, 113224.000000ms, Xm: 1076, a: 0.893858, r: 0.265714
May 31 16:29:01.384 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6492.433380ms, 113224.000000ms, Xm: 1076, a: 0.895432, r: 0.265537
May 31 16:29:48.247 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6502.138449ms, 113224.000000ms, Xm: 1076, a: 0.894689, r: 0.261580
May 31 16:29:48.663 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6496.858187ms, 113224.000000ms, Xm: 1076, a: 0.895093, r: 0.263587
May 31 16:29:49.690 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6513.652768ms, 113224.000000ms, Xm: 1076, a: 0.893809, r: 0.260163
May 31 16:29:55.103 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6489.137812ms, 113224.000000ms, Xm: 1076, a: 0.895685, r: 0.261456
May 31 16:30:03.003 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6502.319105ms, 113224.000000ms, Xm: 1076, a: 0.894675, r: 0.260054
May 31 16:30:03.304 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6469.636596ms, 113224.000000ms, Xm: 1076, a: 0.897188, r: 0.264706
May 31 16:30:12.850 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6505.431391ms, 113224.000000ms, Xm: 1076, a: 0.894437, r: 0.257812
May 31 16:30:13.947 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6473.699825ms, 113224.000000ms, Xm: 1076, a: 0.896874, r: 0.262338
May 31 16:30:17.595 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6506.149879ms, 113224.000000ms, Xm: 1076, a: 0.894382, r: 0.258398
May 31 16:30:19.046 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6475.919820ms, 113224.000000ms, Xm: 1076, a: 0.896703, r: 0.262887
May 31 16:30:20.222 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6508.032059ms, 113224.000000ms, Xm: 1076, a: 0.894238, r: 0.259640
May 31 16:30:21.480 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6487.129682ms, 113224.000000ms, Xm: 1076, a: 0.895839, r: 0.261538
May 31 16:30:27.476 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6547.852210ms, 113224.000000ms, Xm: 1076, a: 0.891218, r: 0.260204
May 31 16:34:10.623 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6481.659137ms, 113224.000000ms, Xm: 1076, a: 0.896260, r: 0.262774
May 31 16:34:16.889 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6725.727569ms, 113224.000000ms, Xm: 914, a: 0.806386, r: 0.244552
May 31 16:36:47.853 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6477.451761ms, 156638.000000ms, Xm: 775, a: 0.758018, r: 0.251701
May 31 16:46:07.463 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5422.195905ms, 193279.798930ms, Xm: 795, a: 0.838286, r: 0.320922
May 31 16:49:08.739 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5528.662813ms, 207084.000000ms, Xm: 782, a: 0.822886, r: 0.319084
May 31 16:49:09.989 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5487.126710ms, 202816.427821ms, Xm: 789, a: 0.829867, r: 0.321157
May 31 16:49:14.539 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5501.143114ms, 204302.357366ms, Xm: 789, a: 0.828776, r: 0.319697
May 31 16:49:23.432 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5499.292482ms, 204105.760719ms, Xm: 789, a: 0.828920, r: 0.320840
May 31 16:49:24.480 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5507.201432ms, 204946.806985ms, Xm: 789, a: 0.828307, r: 0.320359
