Jun 02 21:35:23.574 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5540.191391ms, 288212.798404ms, Xm: 663, a: 0.758093, r: 0.319000
Jun 02 21:35:26.394 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5488.654897ms, 269902.830131ms, Xm: 677, a: 0.769048, r: 0.322000
Jun 02 21:45:51.496 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4498.354440ms, 138336.393260ms, Xm: 714, a: 0.874417, r: 0.341000
Jun 02 22:05:27.227 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3497.387232ms, 60000.000000ms, Xm: 839, a: 1.127404, r: 0.312000
Jun 02 22:05:30.004 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3518.708575ms, 60000.000000ms, Xm: 818, a: 1.103120, r: 0.311000
Jun 02 22:05:47.406 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3493.318292ms, 60000.000000ms, Xm: 818, a: 1.108623, r: 0.311000
Jun 02 22:36:57.519 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2499.580217ms, 60000.000000ms, Xm: 966, a: 1.692872, r: 0.271000
Jun 02 22:38:54.284 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2505.176109ms, 60000.000000ms, Xm: 972, a: 1.699946, r: 0.270000
Jun 02 22:38:58.037 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.620853ms, 60000.000000ms, Xm: 972, a: 1.704663, r: 0.270000
Jun 02 22:39:00.023 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2504.302492ms, 60000.000000ms, Xm: 972, a: 1.700572, r: 0.270000
Jun 02 22:39:02.588 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2499.169098ms, 60000.000000ms, Xm: 972, a: 1.704267, r: 0.271000
Jun 02 22:39:03.463 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2505.620298ms, 60000.000000ms, Xm: 972, a: 1.699627, r: 0.271000
Jun 03 01:09:39.814 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2499.749689ms, 60000.000000ms, Xm: 878, a: 1.538219, r: 0.277000
Jun 03 01:09:40.045 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2508.631018ms, 60000.000000ms, Xm: 878, a: 1.533023, r: 0.276000
Jun 03 01:09:56.998 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2489.819060ms, 60000.000000ms, Xm: 930, a: 1.634311, r: 0.280000
Jun 03 01:10:39.088 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2501.373542ms, 60000.000000ms, Xm: 932, a: 1.630203, r: 0.281000
Jun 03 01:11:03.050 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2499.111467ms, 60000.000000ms, Xm: 900, a: 1.575878, r: 0.280000
Jun 03 01:11:05.142 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2500.718515ms, 60000.000000ms, Xm: 900, a: 1.574887, r: 0.280000
Jun 03 01:11:06.654 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2496.862390ms, 60000.000000ms, Xm: 900, a: 1.577269, r: 0.280000
Jun 03 01:11:06.805 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2500.171435ms, 60000.000000ms, Xm: 900, a: 1.575224, r: 0.280000
