May 28 19:13:46.904 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3787.744285ms, 70898.324495ms, Xm: 785, a: 1.022617, r: 0.299886
May 28 19:26:56.535 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4500.748075ms, 120170.000000ms, Xm: 763, a: 0.906858, r: 0.307770
May 28 19:28:00.029 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4489.570748ms, 120170.000000ms, Xm: 766, a: 0.910146, r: 0.308157
May 28 19:29:00.523 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4524.111182ms, 120170.000000ms, Xm: 766, a: 0.906218, r: 0.310000
May 28 19:29:40.373 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4471.077314ms, 111304.025850ms, Xm: 795, a: 0.931904, r: 0.310000
May 28 19:30:13.170 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4508.561884ms, 113994.979675ms, Xm: 795, a: 0.927421, r: 0.313000
May 28 19:30:52.354 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4487.909712ms, 112507.222919ms, Xm: 795, a: 0.929881, r: 0.312000
May 28 19:34:54.275 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4505.659438ms, 114052.010991ms, Xm: 794, a: 0.927092, r: 0.312000
May 28 19:34:57.638 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4499.588626ms, 113612.855677ms, Xm: 794, a: 0.927813, r: 0.313000
May 28 19:35:19.702 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4503.842065ms, 114996.420850ms, Xm: 790, a: 0.924617, r: 0.312000
May 28 19:35:40.722 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4497.267057ms, 114516.710978ms, Xm: 790, a: 0.925394, r: 0.311000
May 28 19:35:53.992 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4513.293517ms, 115688.282195ms, Xm: 790, a: 0.923505, r: 0.312000
May 28 19:36:09.794 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4482.848890ms, 113469.328863ms, Xm: 790, a: 0.927106, r: 0.311000
May 28 21:08:01.697 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3485.272868ms, 60000.000000ms, Xm: 822, a: 1.114136, r: 0.321000
May 28 23:57:53.218 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3500.897399ms, 60000.000000ms, Xm: 943, a: 1.226978, r: 0.332000
May 28 23:57:53.864 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3499.893445ms, 60000.000000ms, Xm: 943, a: 1.227247, r: 0.332000
May 28 23:57:57.353 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3513.137514ms, 60000.000000ms, Xm: 943, a: 1.223722, r: 0.333000
May 28 23:59:35.183 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3484.523596ms, 60000.000000ms, Xm: 918, a: 1.206575, r: 0.331000
May 28 23:59:46.196 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3529.004202ms, 60000.000000ms, Xm: 885, a: 1.163575, r: 0.331000
May 29 00:03:48.861 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3495.196798ms, 60000.000000ms, Xm: 879, a: 1.165955, r: 0.328000
May 29 00:06:32.587 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3503.528055ms, 60000.000000ms, Xm: 870, a: 1.155348, r: 0.328000
May 29 00:14:45.036 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3460.915729ms, 60000.000000ms, Xm: 869, a: 1.164618, r: 0.321000
May 29 00:14:49.287 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3532.175352ms, 60000.000000ms, Xm: 808, a: 1.091065, r: 0.320000
May 29 00:15:09.946 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3473.491211ms, 60000.000000ms, Xm: 849, a: 1.142372, r: 0.321000
May 29 00:15:56.069 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3501.120606ms, 60000.000000ms, Xm: 854, a: 1.140711, r: 0.325000
May 29 01:12:09.966 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3493.537849ms, 71908.389587ms, Xm: 688, a: 0.990496, r: 0.321000
May 29 01:39:17.113 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3530.296924ms, 77626.849249ms, Xm: 671, a: 0.969326, r: 0.321000
May 29 01:42:46.765 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3499.777361ms, 62793.666002ms, Xm: 742, a: 1.037607, r: 0.327000
May 29 01:42:48.632 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3511.416620ms, 63393.064460ms, Xm: 742, a: 1.035391, r: 0.326000
May 29 01:43:47.756 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3499.681566ms, 69243.471887ms, Xm: 704, a: 1.003610, r: 0.327000
May 29 01:55:31.355 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3500.243231ms, 61576.111013ms, Xm: 750, a: 1.044740, r: 0.336000
May 29 01:55:34.505 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3498.828309ms, 61200.789609ms, Xm: 752, a: 1.046825, r: 0.336000
May 29 01:55:35.086 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3502.784964ms, 61399.029480ms, Xm: 752, a: 1.046056, r: 0.336000
May 29 01:55:44.612 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3497.290427ms, 60822.409274ms, Xm: 754, a: 1.048937, r: 0.336000
May 29 01:56:44.199 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3512.543263ms, 60980.979978ms, Xm: 758, a: 1.049579, r: 0.336000
May 29 01:59:26.878 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3495.424648ms, 62102.284906ms, Xm: 745, a: 1.041151, r: 0.338000
May 29 02:00:23.961 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3505.398791ms, 62610.687137ms, Xm: 745, a: 1.039235, r: 0.338000
May 29 03:12:04.191 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3495.911541ms, 60454.993506ms, Xm: 756, a: 1.051022, r: 0.309000
May 29 03:13:33.310 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3506.696089ms, 60990.162955ms, Xm: 756, a: 1.048912, r: 0.307000
May 29 03:15:57.126 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3491.737742ms, 60000.000000ms, Xm: 765, a: 1.060041, r: 0.307000
May 29 03:16:12.043 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3504.240034ms, 61018.162185ms, Xm: 755, a: 1.048486, r: 0.306000
May 29 03:22:09.014 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3498.657316ms, 63370.580671ms, Xm: 738, a: 1.034216, r: 0.304000
May 29 03:22:11.194 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3508.647347ms, 63889.713046ms, Xm: 738, a: 1.032325, r: 0.305000
May 29 03:22:11.465 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3498.721256ms, 63373.894590ms, Xm: 738, a: 1.034204, r: 0.304000
May 29 03:24:57.740 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3504.191290ms, 69499.090450ms, Xm: 704, a: 1.002805, r: 0.303000
May 29 04:02:22.475 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4500.656689ms, 164060.416212ms, Xm: 652, a: 0.833071, r: 0.301000
May 29 04:16:09.465 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5523.307409ms, 302964.000000ms, Xm: 596, a: 0.722858, r: 0.273000
May 29 04:16:22.669 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5488.634900ms, 301415.956418ms, Xm: 638, a: 0.747847, r: 0.275000
May 29 04:18:31.832 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5500.016172ms, 289546.070509ms, Xm: 654, a: 0.755818, r: 0.276000
May 29 04:25:40.792 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5487.224226ms, 268224.776702ms, Xm: 679, a: 0.770229, r: 0.279000
May 29 04:26:12.352 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5503.381032ms, 270490.790975ms, Xm: 679, a: 0.769147, r: 0.276000
May 29 04:26:42.503 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5489.754120ms, 268578.779160ms, Xm: 679, a: 0.770059, r: 0.275000
May 29 04:47:37.782 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5516.172051ms, 311188.491463ms, Xm: 632, a: 0.742857, r: 0.266000
May 29 04:50:21.048 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5496.526997ms, 289020.789836ms, Xm: 654, a: 0.756043, r: 0.265000
May 29 04:50:23.518 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5516.805109ms, 292082.258751ms, Xm: 654, a: 0.754738, r: 0.265000
May 29 04:50:27.744 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5482.983566ms, 286987.756382ms, Xm: 654, a: 0.756920, r: 0.267000
May 29 04:50:44.264 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5509.389989ms, 290960.333881ms, Xm: 654, a: 0.755214, r: 0.266000
May 29 04:50:54.327 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5488.314314ms, 287786.852341ms, Xm: 654, a: 0.756575, r: 0.267000
May 29 04:51:21.576 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5501.423864ms, 280115.762919ms, Xm: 666, a: 0.762235, r: 0.268000
May 29 04:51:21.576 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5484.064813ms, 277594.118727ms, Xm: 666, a: 0.763377, r: 0.268000
May 29 04:56:39.007 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5501.063639ms, 222847.331998ms, Xm: 753, a: 0.809319, r: 0.268000
May 29 04:56:42.517 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5493.854847ms, 222012.757827ms, Xm: 753, a: 0.809853, r: 0.268000
May 29 04:56:49.945 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5500.678630ms, 222802.707420ms, Xm: 753, a: 0.809348, r: 0.269000
