Jun 04 13:55:11.027 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2267.452738ms, 60000.000000ms, Xm: 686, a: 1.346208, r: 0.258000
Jun 04 16:27:06.028 [info] circuit_build_times_set_timeout(): Circuit timeout data: 1499.799501ms, 60000.000000ms, Xm: 773, a: 2.428213, r: 0.231000
Jun 04 17:16:09.816 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2023.953789ms, 60000.000000ms, Xm: 733, a: 1.584619, r: 0.250000
Jun 04 17:31:33.577 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6713.220594ms, 60000.000000ms, Xm: 3222, a: 2.192466, r: 0.210000
Jun 04 17:31:48.297 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6499.543406ms, 60000.000000ms, Xm: 3211, a: 2.282407, r: 0.237288
Jun 04 17:31:50.740 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6539.099904ms, 60000.000000ms, Xm: 3211, a: 2.262935, r: 0.223140
Jun 04 17:32:09.770 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6488.287174ms, 60000.000000ms, Xm: 4126, a: 3.555275, r: 0.255474
Jun 04 17:32:17.235 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6560.625733ms, 60000.000000ms, Xm: 4126, a: 3.470280, r: 0.246479
Jun 04 17:32:32.543 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6493.566616ms, 60000.000000ms, Xm: 4504, a: 4.399222, r: 0.243421
Jun 04 17:40:36.860 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6511.521050ms, 60000.000000ms, Xm: 2520, a: 1.695369, r: 0.221277
Jun 04 17:40:41.180 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6496.560559ms, 60000.000000ms, Xm: 2520, a: 1.699487, r: 0.222689
Jun 04 17:41:07.450 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6541.632720ms, 60000.000000ms, Xm: 2378, a: 1.590468, r: 0.209877
Jun 04 17:41:17.821 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6493.884924ms, 60000.000000ms, Xm: 2367, a: 1.594707, r: 0.216327
Jun 04 17:45:21.232 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6505.899518ms, 60000.000000ms, Xm: 2258, a: 1.520877, r: 0.212355
Jun 04 17:45:28.495 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6494.764454ms, 60000.000000ms, Xm: 2258, a: 1.523343, r: 0.211538
Jun 04 17:46:04.552 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6503.216049ms, 60000.000000ms, Xm: 2258, a: 1.521470, r: 0.215909
Jun 04 17:46:06.647 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6477.250971ms, 60000.000000ms, Xm: 2258, a: 1.527247, r: 0.214286
Jun 04 17:46:29.778 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6501.417573ms, 60000.000000ms, Xm: 2195, a: 1.482208, r: 0.214545
Jun 04 17:46:33.644 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6498.024890ms, 60000.000000ms, Xm: 2195, a: 1.482921, r: 0.212230
Jun 04 17:46:36.327 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6530.496082ms, 60000.000000ms, Xm: 2195, a: 1.476141, r: 0.207885
Jun 04 17:50:30.830 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6483.310085ms, 60000.000000ms, Xm: 2803, a: 1.919331, r: 0.234043
Jun 04 17:50:31.388 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6509.649742ms, 60000.000000ms, Xm: 2803, a: 1.910096, r: 0.237952
Jun 04 17:50:33.785 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6492.897632ms, 60000.000000ms, Xm: 2803, a: 1.915955, r: 0.237237
Jun 04 17:50:39.635 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6516.515983ms, 60000.000000ms, Xm: 2803, a: 1.907709, r: 0.232143
Jun 04 17:50:40.178 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6499.927898ms, 60000.000000ms, Xm: 2803, a: 1.913490, r: 0.237389
Jun 04 17:50:40.754 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6513.112439ms, 60000.000000ms, Xm: 2803, a: 1.908891, r: 0.233728
Jun 04 17:50:45.459 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6496.642661ms, 60000.000000ms, Xm: 2803, a: 1.914641, r: 0.238938
Jun 04 18:00:35.274 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6502.085346ms, 60000.000000ms, Xm: 3237, a: 2.307517, r: 0.256785
Jun 04 18:00:37.400 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6494.581269ms, 60000.000000ms, Xm: 3237, a: 2.311344, r: 0.256250
Jun 04 18:00:37.712 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6509.626959ms, 60000.000000ms, Xm: 3237, a: 2.303689, r: 0.257796
Jun 04 18:00:40.585 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6495.633704ms, 60000.000000ms, Xm: 3296, a: 2.372331, r: 0.257732
Jun 04 18:00:41.166 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6511.367852ms, 60000.000000ms, Xm: 3296, a: 2.363901, r: 0.255144
Jun 04 18:17:16.014 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6499.487964ms, 60000.000000ms, Xm: 4138, a: 3.564561, r: 0.257184
Jun 04 18:25:39.744 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6500.888304ms, 60000.000000ms, Xm: 4033, a: 3.371057, r: 0.252000
Jun 04 18:25:42.016 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6497.641675ms, 60000.000000ms, Xm: 4033, a: 3.374588, r: 0.251664
Jun 04 18:25:56.645 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6506.322032ms, 60000.000000ms, Xm: 3744, a: 2.912378, r: 0.249022
Jun 04 18:41:33.424 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6471.705883ms, 60000.000000ms, Xm: 3461, a: 2.571471, r: 0.245902
Jun 04 18:44:38.543 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6502.360366ms, 60000.000000ms, Xm: 3449, a: 2.538222, r: 0.245322
Jun 04 18:45:52.136 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6498.167143ms, 60000.000000ms, Xm: 3449, a: 2.540807, r: 0.244813
Jun 04 18:57:17.594 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6502.259373ms, 60000.000000ms, Xm: 4124, a: 3.534692, r: 0.250000
Jun 04 18:57:19.075 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6499.024323ms, 60000.000000ms, Xm: 4124, a: 3.538560, r: 0.250000
Jun 04 18:57:19.477 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6501.417863ms, 60000.000000ms, Xm: 4124, a: 3.535698, r: 0.250000
Jun 04 18:57:22.341 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6489.481030ms, 60000.000000ms, Xm: 4124, a: 3.550030, r: 0.249000
Jun 04 18:57:23.901 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6500.891193ms, 60000.000000ms, Xm: 4124, a: 3.536327, r: 0.249000
Jun 04 18:57:38.436 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6497.711104ms, 60000.000000ms, Xm: 4124, a: 3.540133, r: 0.249000
Jun 04 18:57:42.346 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6503.295691ms, 60000.000000ms, Xm: 4124, a: 3.533456, r: 0.250000
Jun 04 18:57:47.639 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6493.644388ms, 60000.000000ms, Xm: 4124, a: 3.545015, r: 0.249000
Jun 04 18:57:48.555 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6509.406055ms, 60000.000000ms, Xm: 4124, a: 3.526185, r: 0.248000
Jun 04 18:59:08.510 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6498.292541ms, 60000.000000ms, Xm: 4124, a: 3.539436, r: 0.249000
Jun 04 19:05:01.188 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6579.156197ms, 60000.000000ms, Xm: 2551, a: 1.698757, r: 0.246000
Jun 04 19:11:02.424 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6490.700494ms, 60000.000000ms, Xm: 2956, a: 2.046242, r: 0.254000
Jun 04 19:28:29.733 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6574.511713ms, 73365.728363ms, Xm: 1799, a: 1.241880, r: 0.235000
Jun 04 19:33:25.814 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6491.364407ms, 69943.811944ms, Xm: 1810, a: 1.260183, r: 0.239000
Jun 04 19:33:33.425 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6504.980708ms, 71167.377519ms, Xm: 1799, a: 1.252152, r: 0.238000
Jun 04 19:33:36.592 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6496.486444ms, 70901.792089ms, Xm: 1799, a: 1.253427, r: 0.238000
