May 31 13:51:54.687 [info] circuit_build_times_set_timeout(): Based on 1000 circuit times, it looks like we don't need to wait so long for circuits to finish. We will now assume a circuit is too slow to use after waiting 1125 milliseconds.
May 31 13:51:54.687 [info] circuit_build_times_set_timeout(): Circuit timeout data: 1125.339833ms, 60000.000000ms, Xm: 393, a: 1.529839, r: 0.196000
May 31 13:51:56.692 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1125ms (1125.339833ms, 60000.000000ms, Xm: 393, a: 1.529839, r: 0.196000) based on 1000 circuit times
May 31 13:51:56.955 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1117ms (1116.754175ms, 60000.000000ms, Xm: 393, a: 1.541058, r: 0.198000) based on 1000 circuit times
May 31 13:51:57.366 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1113ms (1112.758259ms, 60000.000000ms, Xm: 393, a: 1.546366, r: 0.200000) based on 1000 circuit times
May 31 13:51:57.455 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1113ms (1112.562146ms, 60000.000000ms, Xm: 393, a: 1.546627, r: 0.200000) based on 1000 circuit times
May 31 13:51:57.478 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1112ms (1111.864387ms, 60000.000000ms, Xm: 392, a: 1.543778, r: 0.200000) based on 1000 circuit times
May 31 13:51:57.545 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1108ms (1108.434503ms, 60000.000000ms, Xm: 392, a: 1.548367, r: 0.199000) based on 1000 circuit times
May 31 13:51:57.555 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1109ms (1108.702546ms, 60000.000000ms, Xm: 392, a: 1.548007, r: 0.200000) based on 1000 circuit times
May 31 13:51:57.790 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1109ms (1108.643204ms, 60000.000000ms, Xm: 392, a: 1.548087, r: 0.200000) based on 1000 circuit times
May 31 13:51:58.515 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1107ms (1107.142647ms, 60000.000000ms, Xm: 392, a: 1.550106, r: 0.200000) based on 1000 circuit times
May 31 13:51:59.444 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1105ms (1105.488834ms, 60000.000000ms, Xm: 392, a: 1.552341, r: 0.200000) based on 1000 circuit times
May 31 13:51:59.815 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1106ms (1106.099915ms, 60000.000000ms, Xm: 392, a: 1.551514, r: 0.200000) based on 1000 circuit times
May 31 13:52:00.542 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1106ms (1105.502097ms, 60000.000000ms, Xm: 392, a: 1.552323, r: 0.200000) based on 1000 circuit times
May 31 13:52:00.571 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1104ms (1103.575589ms, 60000.000000ms, Xm: 392, a: 1.554939, r: 0.201000) based on 1000 circuit times
May 31 13:52:01.235 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1100ms (1100.088866ms, 60000.000000ms, Xm: 392, a: 1.559708, r: 0.200000) based on 1000 circuit times
May 31 13:52:02.589 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1100ms (1099.704711ms, 60000.000000ms, Xm: 392, a: 1.560236, r: 0.200000) based on 1000 circuit times
May 31 13:52:02.717 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1102ms (1101.551570ms, 60000.000000ms, Xm: 392, a: 1.557702, r: 0.201000) based on 1000 circuit times
May 31 13:52:04.600 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1100ms (1100.393179ms, 60000.000000ms, Xm: 392, a: 1.559290, r: 0.200000) based on 1000 circuit times
May 31 13:52:04.704 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1110ms (1110.253449ms, 60000.000000ms, Xm: 373, a: 1.475513, r: 0.198000) based on 1000 circuit times
May 31 13:52:04.806 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1106ms (1106.019221ms, 60000.000000ms, Xm: 373, a: 1.480700, r: 0.197000) based on 1000 circuit times
May 31 13:52:05.284 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1110ms (1110.408743ms, 60000.000000ms, Xm: 373, a: 1.475324, r: 0.198000) based on 1000 circuit times
May 31 13:52:06.724 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1111ms (1110.526768ms, 60000.000000ms, Xm: 374, a: 1.478809, r: 0.198000) based on 1000 circuit times
May 31 13:52:07.015 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1110ms (1109.915305ms, 60000.000000ms, Xm: 375, a: 1.483198, r: 0.198000) based on 1000 circuit times
May 31 13:52:07.299 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1110ms (1109.596706ms, 60000.000000ms, Xm: 375, a: 1.483591, r: 0.198000) based on 1000 circuit times
May 31 13:52:07.375 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1110ms (1110.349927ms, 60000.000000ms, Xm: 375, a: 1.482664, r: 0.199000) based on 1000 circuit times
May 31 13:52:07.536 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1110ms (1109.703468ms, 60000.000000ms, Xm: 375, a: 1.483459, r: 0.199000) based on 1000 circuit times
May 31 13:52:07.617 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1109ms (1108.926333ms, 60000.000000ms, Xm: 375, a: 1.484418, r: 0.199000) based on 1000 circuit times
May 31 13:52:07.816 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1110ms (1110.312119ms, 60000.000000ms, Xm: 375, a: 1.482710, r: 0.199000) based on 1000 circuit times
May 31 13:52:07.904 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1115ms (1114.515489ms, 60000.000000ms, Xm: 375, a: 1.477567, r: 0.198000) based on 1000 circuit times
May 31 13:52:07.993 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1108ms (1108.036861ms, 60000.000000ms, Xm: 375, a: 1.485517, r: 0.198000) based on 1000 circuit times
May 31 13:52:08.076 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1107ms (1107.325863ms, 60000.000000ms, Xm: 375, a: 1.486398, r: 0.198000) based on 1000 circuit times
May 31 13:52:08.081 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1108ms (1107.517763ms, 60000.000000ms, Xm: 375, a: 1.486160, r: 0.197000) based on 1000 circuit times
May 31 13:52:08.245 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1109ms (1108.942545ms, 60000.000000ms, Xm: 375, a: 1.484398, r: 0.197000) based on 1000 circuit times
May 31 13:52:08.501 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1109ms (1108.676285ms, 60000.000000ms, Xm: 375, a: 1.484727, r: 0.196000) based on 1000 circuit times
May 31 13:52:09.217 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1110ms (1109.788637ms, 60000.000000ms, Xm: 376, a: 1.487004, r: 0.196000) based on 1000 circuit times
May 31 13:52:09.500 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1108ms (1108.363196ms, 60000.000000ms, Xm: 376, a: 1.488772, r: 0.196000) based on 1000 circuit times
May 31 13:52:09.589 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1105ms (1105.034479ms, 60000.000000ms, Xm: 376, a: 1.492926, r: 0.195000) based on 1000 circuit times
May 31 13:52:10.203 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1103ms (1102.548773ms, 60000.000000ms, Xm: 376, a: 1.496051, r: 0.196000) based on 1000 circuit times
May 31 13:52:10.532 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1102ms (1101.985612ms, 60000.000000ms, Xm: 377, a: 1.500468, r: 0.196000) based on 1000 circuit times
May 31 13:52:10.747 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1100ms (1100.049077ms, 60000.000000ms, Xm: 377, a: 1.502933, r: 0.195000) based on 1000 circuit times
May 31 13:52:12.285 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1102ms (1101.935181ms, 60000.000000ms, Xm: 375, a: 1.493128, r: 0.195000) based on 1000 circuit times
May 31 13:52:12.811 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1102ms (1101.607175ms, 60000.000000ms, Xm: 375, a: 1.493540, r: 0.195000) based on 1000 circuit times
May 31 13:52:13.289 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1103ms (1103.423931ms, 60000.000000ms, Xm: 375, a: 1.491260, r: 0.195000) based on 1000 circuit times
May 31 13:52:13.458 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1103ms (1103.313631ms, 60000.000000ms, Xm: 375, a: 1.491398, r: 0.195000) based on 1000 circuit times
May 31 13:52:13.743 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1101ms (1101.498639ms, 60000.000000ms, Xm: 375, a: 1.493677, r: 0.194000) based on 1000 circuit times
May 31 13:52:13.807 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1106ms (1106.305814ms, 60000.000000ms, Xm: 375, a: 1.487664, r: 0.194000) based on 1000 circuit times
May 31 13:52:13.808 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1110ms (1110.365182ms, 60000.000000ms, Xm: 375, a: 1.482645, r: 0.195000) based on 1000 circuit times
May 31 13:52:13.819 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1110ms (1110.490840ms, 60000.000000ms, Xm: 375, a: 1.482490, r: 0.195000) based on 1000 circuit times
May 31 13:52:14.099 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1112ms (1111.921655ms, 60000.000000ms, Xm: 375, a: 1.480734, r: 0.195000) based on 1000 circuit times
May 31 13:52:14.502 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1116ms (1116.017950ms, 60000.000000ms, Xm: 377, a: 1.482974, r: 0.192000) based on 1000 circuit times
May 31 13:52:14.769 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1115ms (1114.958564ms, 60000.000000ms, Xm: 377, a: 1.484273, r: 0.195000) based on 1000 circuit times
May 31 13:52:15.737 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1114ms (1114.157607ms, 60000.000000ms, Xm: 377, a: 1.485257, r: 0.195000) based on 1000 circuit times
May 31 13:52:17.144 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1105ms (1104.994315ms, 60000.000000ms, Xm: 396, a: 1.568376, r: 0.197000) based on 1000 circuit times
May 31 13:52:18.056 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1105ms (1104.759936ms, 60000.000000ms, Xm: 396, a: 1.568700, r: 0.197000) based on 1000 circuit times
May 31 13:52:22.097 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1105ms (1105.476364ms, 60000.000000ms, Xm: 397, a: 1.571570, r: 0.196000) based on 1000 circuit times
May 31 13:52:22.204 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1107ms (1107.443538ms, 60000.000000ms, Xm: 397, a: 1.568847, r: 0.197000) based on 1000 circuit times
May 31 13:52:22.586 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1109ms (1109.333254ms, 60000.000000ms, Xm: 397, a: 1.566244, r: 0.198000) based on 1000 circuit times
May 31 13:52:23.665 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1107ms (1107.081521ms, 60000.000000ms, Xm: 397, a: 1.569347, r: 0.197000) based on 1000 circuit times
May 31 13:52:23.908 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1106ms (1106.354875ms, 60000.000000ms, Xm: 397, a: 1.570352, r: 0.197000) based on 1000 circuit times
May 31 13:52:24.320 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1108ms (1108.020583ms, 60000.000000ms, Xm: 397, a: 1.568051, r: 0.197000) based on 1000 circuit times
May 31 13:52:24.677 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1107ms (1107.349454ms, 60000.000000ms, Xm: 397, a: 1.568977, r: 0.197000) based on 1000 circuit times
May 31 13:52:24.705 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1110ms (1109.908238ms, 60000.000000ms, Xm: 397, a: 1.565454, r: 0.198000) based on 1000 circuit times
May 31 13:52:25.595 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1109ms (1108.972171ms, 60000.000000ms, Xm: 397, a: 1.566740, r: 0.198000) based on 1000 circuit times
May 31 13:52:40.684 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1109ms (1108.879761ms, 60000.000000ms, Xm: 397, a: 1.566867, r: 0.198000) based on 1000 circuit times
May 31 13:52:41.291 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1108ms (1108.111095ms, 60000.000000ms, Xm: 397, a: 1.567926, r: 0.198000) based on 1000 circuit times
May 31 13:52:42.033 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1109ms (1108.628981ms, 60000.000000ms, Xm: 398, a: 1.571061, r: 0.198000) based on 1000 circuit times
