Aug 29 17:10:37.609 [debug] read_to_chunk(): Encountered eof on fd 13
Aug 29 17:10:40.796 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:10:40.796 [debug] read_to_chunk(): Read 80 bytes. 80 on inbuf.
Aug 29 17:10:40.796 [debug] read_to_chunk(): Read 21 bytes. 21 on inbuf.
Aug 29 17:10:41.141 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:10:41.499 [debug] read_to_chunk(): Read 93 bytes. 93 on inbuf.
Aug 29 17:10:41.779 [debug] read_to_chunk(): Read 420 bytes. 420 on inbuf.
Aug 29 17:10:41.964 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:10:41.964 [debug] read_to_chunk(): Read 83 bytes. 83 on inbuf.
Aug 29 17:10:41.964 [debug] read_to_chunk(): Read 27 bytes. 27 on inbuf.
Aug 29 17:10:42.227 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:10:42.561 [debug] read_to_chunk(): Read 80 bytes. 80 on inbuf.
Aug 29 17:10:42.562 [debug] read_to_chunk(): Read 462 bytes. 462 on inbuf.
Aug 29 17:10:43.074 [debug] read_to_chunk(): Read 378 bytes. 378 on inbuf.
Aug 29 17:10:58.929 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:10:58.929 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:10:58.929 [debug] read_to_chunk(): Read 22 bytes. 22 on inbuf.
Aug 29 17:10:59.241 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:10:59.535 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:10:59.535 [debug] read_to_chunk(): Read 485 bytes. 485 on inbuf.
Aug 29 17:10:59.828 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:01.502 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:01.502 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:01.502 [debug] read_to_chunk(): Read 69 bytes. 69 on inbuf.
Aug 29 17:11:01.610 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:01.610 [debug] read_to_chunk(): Read 140 bytes. 140 on inbuf.
Aug 29 17:11:01.610 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:01.610 [debug] read_to_chunk(): Read 26 bytes. 26 on inbuf.
Aug 29 17:11:01.610 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:01.610 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:01.610 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:01.610 [debug] read_to_chunk(): Read 26 bytes. 26 on inbuf.
Aug 29 17:11:01.610 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:01.610 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:01.611 [debug] read_to_chunk(): Read 26 bytes. 26 on inbuf.
Aug 29 17:11:01.611 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
